N,P,K,temperature,humidity,ph,rainfall,label
32,90,61,28.19,45.71,6.65,59.66,millet
23,92,178,24.61,45.31,7.26,51.85,barley
58,23,106,20.95,51.97,7.24,69.94,peas
36,9,82,22.58,82.36,5.81,277.09,rice
117,36,141,37.96,59.86,7.46,93.63,cotton
68,33,12,25.33,57.35,7.13,67.75,maize
107,139,29,24.42,40.88,5.53,52.76,millet
56,32,186,25.24,51.48,6.56,108.84,groundnut
55,26,112,17.59,61.79,6.92,83.87,peas
132,31,118,23.74,43.82,6.56,72.03,barley
102,60,34,20.69,61.25,5.66,90.36,maize
106,36,200,29.56,59.39,7.15,85.64,cotton
65,118,115,31.77,73.13,6.04,193.07,sugarcane
101,115,11,23.51,75.51,6.12,111.94,soybean
43,130,149,24.89,45.13,6.34,100.48,wheat
105,103,23,34.12,85.06,5.83,187.36,rice
130,102,129,23.91,75.31,6.48,106.67,soybean
77,115,99,26.24,74.25,5.67,163.5,rice
1,41,85,26.66,43.18,5.72,70.56,cotton
4,90,125,24.62,54.43,6.18,65.11,peas
8,72,94,31.14,48.27,6.22,76.55,cotton
105,83,40,32.15,54.49,6.71,85.1,groundnut
32,22,28,31.99,79.85,5.74,235.25,rice
22,47,198,27.35,66.49,7.37,75.91,groundnut
21,140,191,23.64,48.09,7.27,103.87,wheat
131,116,23,10.5,57.68,7.07,76.97,wheat
2,100,163,28.48,59.73,6.44,74.18,maize
83,64,51,21.79,70.66,6.76,146.62,soybean
40,83,41,24.34,72.63,6.89,134.16,soybean
116,108,37,25.69,48.33,7.33,84.46,cotton
124,113,91,30.5,64.01,6.28,91.02,groundnut
96,23,136,17.18,52.87,6.23,96.66,wheat
66,40,38,17.53,47.35,6.89,50.22,wheat
17,67,17,10.83,57.96,6.1,67.77,peas
35,76,109,26.18,78.88,6.03,105.76,sugarcane
16,108,18,30.01,73.5,6.87,109.93,sugarcane
25,49,158,20.09,56.94,7.22,83.41,maize
70,8,92,38.33,57.58,7.59,92.44,cotton
63,124,111,32.15,44.36,7.34,61.96,cotton
5,36,166,27.47,52.97,6.51,58.16,cotton
74,77,38,35.63,54.95,7.31,52.17,cotton
88,131,191,23.6,44.15,7.32,70.51,barley
121,52,105,30.78,55.1,6.72,86.01,cotton
15,96,149,29.64,63.85,6.04,128.37,maize
19,55,87,26.82,76.14,6.98,133.93,soybean
120,51,52,29.97,67.79,6.65,79.94,groundnut
80,11,183,14.13,63.44,7.31,117.65,peas
44,36,21,33.71,35.66,5.34,32.49,millet
84,145,68,12.04,63.67,6.98,84.04,peas
9,22,122,33.58,81.89,5.6,279.69,rice
35,126,37,23.21,73.21,6.63,124.91,soybean
77,12,172,32.73,73.8,5.94,202.01,rice
48,33,24,30.99,41.41,6.05,61.55,millet
89,83,79,16.12,30.42,6.13,43.0,barley
44,28,20,25.14,47.39,5.94,33.52,millet
18,99,129,19.38,52.89,7.47,140.74,maize
32,50,38,34.73,41.78,5.71,48.3,millet
62,121,66,21.48,81.42,6.56,143.05,sugarcane
10,108,110,12.7,57.27,6.4,62.04,peas
79,115,148,21.92,51.1,6.99,80.54,peas
124,34,84,23.58,76.65,6.47,87.04,soybean
60,43,159,13.76,52.1,6.1,97.49,peas
138,133,96,15.25,43.69,6.8,69.03,barley
73,75,168,20.88,47.24,6.56,65.82,millet
110,39,20,37.76,56.38,6.5,93.82,cotton
130,41,150,26.04,74.28,7.46,132.64,soybean
100,145,80,25.3,52.39,7.33,104.83,maize
24,82,185,21.52,70.04,5.75,156.28,rice
63,72,65,17.64,47.15,6.61,100.45,wheat
107,25,181,21.68,47.61,7.02,50.61,wheat
89,42,95,20.7,45.21,7.42,64.16,barley
62,73,159,33.96,54.62,7.46,58.21,groundnut
134,22,86,28.37,48.48,6.73,96.47,cotton
49,114,100,10.8,44.43,6.89,64.0,barley
62,53,102,21.45,61.75,6.84,102.99,sugarcane
40,96,130,15.57,58.93,7.47,106.1,peas
125,58,21,28.49,48.36,5.66,33.39,millet
74,110,128,21.31,74.31,6.81,194.91,sugarcane
109,10,94,27.27,44.82,7.12,99.49,cotton
86,25,161,27.75,73.44,6.78,147.2,sugarcane
24,71,67,39.09,43.56,6.72,72.07,cotton
121,31,174,23.52,80.4,5.76,203.77,rice
133,99,45,28.48,68.3,7.41,114.91,soybean
103,54,60,17.17,30.18,6.17,52.03,barley
95,8,98,23.63,74.54,6.21,112.74,soybean
101,103,196,34.6,52.27,6.49,103.26,groundnut
106,41,41,27.71,60.51,6.8,104.1,sugarcane
128,88,156,10.46,44.28,7.06,45.88,barley
42,126,42,23.41,45.12,6.05,100.44,wheat
103,129,201,17.13,63.53,7.39,62.67,peas
38,27,9,27.01,68.29,7.27,100.97,soybean
30,110,16,32.09,44.89,6.58,78.25,millet
11,139,133,33.14,62.74,7.49,167.81,sugarcane
97,123,63,32.96,55.35,6.55,113.44,groundnut
32,8,143,17.57,63.75,7.13,66.21,peas
14,124,178,14.55,43.8,6.8,111.57,wheat
67,11,87,29.62,74.87,6.24,143.85,sugarcane
2,64,54,32.59,78.69,7.49,194.44,sugarcane
79,67,202,34.56,52.66,6.21,67.33,groundnut
96,58,196,16.52,63.41,7.02,72.74,peas
79,56,23,12.57,50.54,6.49,93.1,peas
67,112,197,28.18,79.14,6.4,163.89,sugarcane
42,124,180,25.65,55.42,6.57,54.18,cotton
43,115,83,29.0,66.74,7.37,107.32,groundnut
132,41,111,24.19,67.33,6.06,86.51,soybean
25,15,182,33.91,53.85,7.46,50.68,cotton
53,139,50,14.52,52.19,6.0,93.77,wheat
55,54,92,29.21,61.8,6.73,95.16,maize
116,10,92,25.8,43.41,5.68,39.35,millet
100,55,177,31.43,83.87,6.81,137.61,sugarcane
107,128,82,21.83,46.58,5.48,77.23,millet
101,144,80,34.26,59.72,7.43,51.16,cotton
67,45,119,18.39,35.84,7.08,62.85,barley
100,87,179,21.29,62.8,5.62,142.67,maize
8,45,170,21.8,50.01,7.42,56.58,wheat
107,40,170,13.47,58.96,6.52,78.93,wheat
60,117,118,21.98,51.18,6.91,89.16,wheat
116,56,8,29.34,69.0,6.6,94.28,maize
22,138,36,33.79,85.55,6.35,166.75,rice
8,28,39,15.32,62.33,6.51,114.86,peas
110,141,40,32.0,87.03,5.74,292.49,rice
107,90,158,29.38,74.56,7.26,84.93,soybean
49,90,161,23.41,68.21,7.27,148.62,soybean
39,11,152,14.65,62.56,6.9,107.71,peas
31,25,36,18.95,55.83,7.18,63.48,peas
131,139,175,21.88,49.54,5.65,80.93,millet
56,69,20,15.19,52.57,7.14,98.45,peas
95,27,191,17.51,51.06,7.26,115.97,wheat
19,8,87,16.31,42.04,7.24,83.74,wheat
19,86,193,29.4,45.16,5.75,56.74,millet
136,74,105,25.31,53.08,6.44,114.59,groundnut
35,131,159,33.06,59.35,6.51,118.52,groundnut
96,70,46,27.45,79.04,6.57,290.26,rice
26,27,151,24.54,41.8,6.65,43.53,millet
83,131,126,21.05,68.45,6.38,66.03,peas
44,18,195,26.44,67.75,5.67,97.98,maize
138,141,106,18.35,69.09,7.41,77.45,maize
124,143,139,29.99,45.47,6.29,42.25,millet
95,98,109,32.91,76.81,6.84,237.52,rice
33,49,196,29.74,60.8,6.51,100.62,soybean
120,73,40,20.86,31.07,6.71,61.52,millet
73,98,12,29.51,79.13,6.03,277.04,rice
94,52,121,21.62,57.53,6.07,115.66,maize
133,59,158,14.26,48.31,7.2,42.51,barley
45,81,85,23.54,46.61,7.07,98.29,wheat
140,125,153,24.51,59.19,6.18,54.67,wheat
5,65,150,29.65,78.74,5.89,252.05,rice
69,26,190,15.99,58.2,7.46,75.6,wheat
18,55,16,15.6,51.67,6.01,78.4,peas
109,129,118,25.24,85.6,6.82,254.35,rice
89,49,134,20.01,39.42,5.93,53.52,millet
114,133,158,20.55,73.2,7.04,144.49,sugarcane
136,63,27,22.9,72.62,7.09,147.3,sugarcane
104,105,133,32.9,58.2,6.66,53.09,groundnut
99,64,151,21.99,61.48,6.77,114.44,maize
122,108,96,18.55,42.89,6.6,114.64,wheat
76,144,189,25.64,74.25,7.17,90.77,soybean
14,125,107,33.2,39.44,5.39,89.28,millet
49,14,79,22.97,62.38,6.1,122.03,sugarcane
91,107,18,22.15,85.24,6.02,294.92,rice
100,98,183,25.6,71.9,5.55,240.47,rice
34,94,132,22.16,74.14,6.88,137.3,soybean
47,118,195,32.31,64.65,7.42,118.25,groundnut
139,80,32,29.68,73.85,6.86,138.34,soybean
80,74,194,27.01,46.93,6.52,51.09,cotton
39,67,7,39.92,46.43,7.63,76.38,cotton
123,46,48,25.54,75.12,6.11,136.36,soybean
138,127,158,17.13,54.52,6.67,65.39,wheat
118,105,169,34.76,38.57,5.29,41.27,millet
57,120,151,21.24,56.15,7.37,98.75,maize
33,28,140,27.81,68.02,7.36,66.92,groundnut
63,62,100,28.33,84.1,6.95,180.14,rice
113,124,176,25.95,59.5,6.92,69.54,groundnut
128,104,180,33.18,75.02,7.47,136.49,sugarcane
14,75,188,25.78,60.88,6.15,101.51,groundnut
80,132,101,33.55,68.28,6.86,113.5,groundnut
10,63,150,33.21,77.14,6.47,116.46,sugarcane
72,111,19,34.33,44.29,6.94,66.14,millet
105,69,63,28.68,69.39,6.82,112.02,groundnut
50,104,101,19.69,55.16,6.51,70.82,maize
20,85,62,10.75,50.69,6.44,114.07,peas
101,62,67,15.47,57.05,7.09,83.47,peas
105,57,190,30.74,60.31,6.8,81.88,groundnut
75,76,132,11.62,59.6,6.53,70.37,peas
14,49,148,12.07,50.44,7.0,85.13,peas
138,137,166,30.26,88.92,6.16,245.9,rice
40,120,189,26.77,53.64,6.08,91.77,groundnut
97,128,22,28.15,85.52,5.69,227.77,rice
59,81,61,21.81,56.84,7.31,71.73,maize
31,108,61,20.73,68.98,6.75,73.48,maize
83,56,35,34.35,51.25,6.64,77.35,cotton
121,137,89,29.72,42.13,7.87,65.08,cotton
51,12,127,21.66,53.67,5.96,109.04,maize
75,42,200,23.23,41.58,6.37,92.22,wheat
79,61,26,14.32,44.9,6.19,102.57,wheat
110,70,84,22.37,61.94,7.05,125.57,sugarcane
131,91,23,22.1,66.36,6.7,94.3,soybean
78,132,105,29.21,77.36,6.38,224.38,rice
27,20,30,25.13,87.99,6.47,245.0,rice
22,39,102,20.27,56.94,6.22,82.35,wheat
22,62,59,29.82,74.74,6.05,201.12,rice
36,116,87,35.45,55.24,6.03,81.2,cotton
79,111,120,20.29,69.52,7.36,98.12,maize
55,46,179,27.89,56.49,7.23,96.3,cotton
84,138,69,22.49,80.32,6.5,179.19,sugarcane
111,44,21,22.87,43.07,6.42,55.64,barley
72,69,100,28.67,79.89,6.0,268.22,rice
1,142,158,30.98,30.41,6.6,51.32,millet
88,78,177,22.49,39.17,6.25,80.34,millet
131,75,5,11.55,41.05,7.27,75.04,wheat
117,120,45,28.15,61.56,7.49,74.72,groundnut
26,121,9,34.84,62.72,6.41,79.77,groundnut
2,110,13,20.88,79.73,6.2,118.58,sugarcane
68,62,43,20.6,56.36,6.53,113.32,wheat
83,131,158,33.59,86.21,6.07,283.6,rice
105,122,114,17.21,37.66,7.02,67.04,barley
125,129,190,33.45,69.0,7.0,112.72,groundnut
36,32,129,31.64,63.58,6.95,56.66,groundnut
13,103,45,25.0,84.87,6.59,233.46,rice
98,128,75,31.47,78.28,6.76,217.13,rice
45,89,171,21.97,69.82,6.64,126.81,soybean
50,56,161,30.38,63.92,6.83,199.16,sugarcane
6,127,156,29.94,47.98,6.8,82.03,millet
13,11,185,16.44,38.66,7.45,40.78,barley
40,6,138,21.55,72.61,7.04,122.71,sugarcane
111,70,142,30.29,53.0,6.07,103.0,groundnut
22,6,136,10.37,54.32,6.06,110.74,peas
59,44,128,20.79,61.24,6.84,68.44,maize
28,47,91,34.11,73.91,7.21,158.47,sugarcane
99,101,116,21.35,45.46,6.6,43.82,barley
27,102,166,34.65,46.91,6.36,65.74,cotton
0,65,64,24.25,68.93,5.5,110.67,maize
31,58,93,10.12,38.89,7.21,95.91,barley
123,113,109,21.87,74.32,7.17,190.3,sugarcane
121,31,47,29.15,60.8,6.18,189.79,sugarcane
22,104,51,24.61,34.28,6.04,61.26,barley
26,63,118,19.03,40.46,6.63,110.98,wheat
135,37,128,20.99,61.85,6.19,182.26,sugarcane
24,88,18,39.92,44.54,7.88,95.41,cotton
66,112,156,25.07,56.37,7.57,51.53,cotton
70,26,133,28.67,84.72,6.78,178.72,sugarcane
29,44,129,14.75,50.89,6.35,111.63,wheat
36,64,63,10.66,56.46,6.13,50.11,wheat
116,76,73,29.21,68.6,7.19,128.99,sugarcane
105,50,166,31.76,81.58,5.65,189.3,rice
139,120,142,21.67,62.28,6.65,143.17,soybean
99,133,96,15.03,46.92,7.04,83.65,wheat
15,24,61,33.23,42.38,6.6,56.23,millet
101,59,155,30.71,39.73,5.48,70.32,millet
77,108,200,14.11,32.21,7.41,78.66,barley
5,32,185,18.64,57.82,6.39,115.18,maize
95,92,125,16.75,69.91,7.32,100.33,peas
60,25,118,26.05,31.43,5.33,39.68,millet
109,25,19,21.53,67.22,7.36,87.22,soybean
83,97,32,11.11,52.45,6.67,62.15,peas
125,81,183,16.82,40.73,6.36,47.45,barley
80,116,204,20.22,51.1,7.38,81.89,maize
133,89,51,27.08,60.3,7.22,69.58,groundnut
123,111,48,23.75,68.34,6.07,136.42,soybean
117,96,153,27.27,55.4,6.77,117.46,groundnut
15,19,123,11.43,34.84,6.75,81.03,barley
82,104,57,30.21,40.27,7.98,64.99,cotton
138,50,73,24.33,50.62,6.14,109.81,wheat
66,98,23,25.53,79.75,6.51,89.75,soybean
37,85,28,24.57,41.5,6.7,76.34,wheat
8,59,82,29.75,40.74,5.79,93.0,cotton
67,89,145,21.75,53.09,6.48,103.07,wheat
25,144,90,22.79,68.37,6.79,77.44,maize
41,13,60,28.07,53.06,7.55,94.3,cotton
102,36,93,21.91,63.94,7.46,84.91,peas
114,42,30,23.36,35.53,5.89,89.13,millet
105,103,121,13.7,33.84,6.99,75.83,barley
101,45,194,31.54,54.56,6.11,52.2,groundnut
17,130,56,22.46,42.97,6.62,119.35,wheat
66,32,113,32.32,46.57,6.47,48.68,millet
27,54,45,33.26,56.13,7.26,108.56,groundnut
137,67,108,34.83,56.36,5.51,83.35,cotton
104,82,42,24.39,87.98,6.33,248.62,rice
64,105,96,22.65,72.54,6.27,142.48,soybean
37,110,44,28.8,80.29,5.59,292.49,rice
39,122,88,12.19,36.44,7.44,72.06,barley
19,135,167,11.68,56.35,6.16,104.55,peas
98,20,58,11.12,46.83,6.91,86.72,wheat
118,66,79,32.13,33.86,5.77,41.5,millet
54,112,166,27.07,60.84,6.43,134.35,soybean
74,136,5,20.04,80.32,6.18,166.4,sugarcane
137,133,97,13.33,50.82,6.44,100.95,wheat
71,72,67,18.6,69.64,6.8,113.91,peas
70,41,72,25.91,49.01,6.08,35.83,millet
46,23,72,17.05,53.98,6.99,118.89,peas
50,103,20,23.83,46.57,7.37,85.26,barley
115,134,44,27.92,46.74,6.47,53.95,cotton
99,144,159,23.11,44.36,6.47,44.78,barley
23,68,106,32.58,68.83,7.11,167.21,sugarcane
138,122,47,30.83,48.18,5.63,59.07,cotton
115,7,169,25.35,56.41,6.65,118.15,groundnut
79,118,61,29.92,62.42,6.47,67.62,groundnut
129,101,170,30.88,47.61,7.21,69.54,cotton
57,65,8,24.23,72.37,6.27,91.96,soybean
88,33,49,34.48,40.08,7.62,88.45,cotton
109,110,202,27.19,60.16,7.02,161.76,sugarcane
129,29,50,12.21,50.15,6.71,72.33,peas
110,55,138,21.6,61.94,7.46,97.69,maize
131,44,115,31.0,84.26,6.52,106.36,sugarcane
126,75,23,34.27,66.86,7.49,89.76,groundnut
93,74,45,34.88,83.71,6.81,152.07,sugarcane
136,117,23,27.28,47.88,7.39,92.89,cotton
133,58,156,28.64,77.83,5.88,170.56,rice
95,11,178,11.8,49.26,6.15,58.14,barley
22,124,127,31.95,52.49,7.24,75.19,groundnut
0,110,27,22.5,71.29,7.48,106.48,soybean
24,58,101,23.22,67.18,6.38,72.9,peas
76,26,155,23.31,53.52,6.18,73.25,wheat
105,115,149,28.31,56.77,6.51,73.74,groundnut
22,8,146,33.38,69.72,7.01,77.66,groundnut
133,132,128,21.36,61.5,7.18,126.1,maize
75,114,70,23.19,54.81,6.18,66.09,wheat
24,78,105,31.97,64.04,6.66,100.52,groundnut
78,98,69,24.37,52.31,6.88,114.93,wheat
18,91,79,28.65,64.56,5.65,128.64,maize
91,85,125,22.62,83.79,6.18,147.62,sugarcane
72,123,135,29.43,60.9,6.9,89.25,maize
78,59,128,22.12,57.91,6.55,111.64,maize
87,118,34,24.21,54.13,6.84,85.72,peas
140,144,7,31.23,80.24,7.39,154.82,sugarcane
54,109,89,34.95,44.78,7.61,53.38,cotton
119,101,8,28.11,39.49,5.39,80.61,millet
31,15,80,25.94,56.35,7.18,102.48,maize
95,114,137,34.7,57.87,7.81,95.89,cotton
3,118,99,13.87,57.7,6.82,103.2,peas
19,138,113,16.21,53.27,7.08,102.46,wheat
25,136,49,27.72,53.62,7.03,83.43,cotton
25,49,82,25.05,58.61,6.22,81.23,maize
127,7,76,20.0,55.55,5.62,85.73,maize
88,7,98,22.31,30.43,6.99,58.95,barley
65,52,144,12.74,55.33,6.25,106.64,wheat
54,42,19,12.41,51.24,6.17,82.98,peas
43,41,152,33.98,76.49,6.84,250.26,rice
40,37,199,37.2,43.93,7.98,71.87,cotton
99,14,149,29.91,65.11,7.09,118.58,groundnut
14,47,29,14.53,47.25,7.1,87.49,barley
97,13,74,29.12,72.64,6.96,169.58,rice
26,67,45,25.34,68.37,7.15,71.75,groundnut
124,6,83,24.0,53.2,7.4,72.8,wheat
93,74,109,29.18,62.98,6.16,65.55,groundnut
140,28,117,24.02,74.28,5.87,293.68,rice
115,73,163,32.04,44.66,6.86,98.21,cotton
38,91,176,12.03,61.87,6.7,73.05,peas
27,36,192,11.62,44.72,6.09,85.89,wheat
25,43,146,16.96,44.82,7.37,69.41,barley
121,47,25,24.73,68.07,6.83,83.58,maize
5,137,23,12.94,42.12,7.03,79.99,wheat
108,111,201,25.86,79.87,6.31,200.34,rice
55,72,152,16.06,36.06,7.29,86.06,barley
135,83,104,18.65,37.98,7.15,72.88,barley
121,80,69,25.42,50.0,5.43,86.35,millet
16,61,172,23.99,59.29,7.08,69.45,maize
54,32,69,33.18,81.22,6.93,151.22,rice
62,125,168,30.15,44.96,6.94,70.98,millet
74,49,180,25.38,63.78,6.71,53.0,groundnut
25,125,22,26.17,73.93,6.98,118.96,soybean
83,100,87,16.31,42.94,6.14,46.69,barley
109,140,170,26.15,50.45,7.45,98.37,groundnut
105,28,32,35.69,45.7,7.78,83.74,cotton
94,95,52,31.17,41.57,5.6,81.65,cotton
55,98,150,27.29,69.94,6.59,108.55,groundnut
33,101,66,27.88,65.44,7.36,131.67,maize
44,140,149,21.03,44.15,6.46,71.58,wheat
8,42,36,23.55,64.32,7.42,140.72,maize
50,76,147,25.77,31.29,6.58,87.46,millet
64,20,159,13.8,31.79,6.06,78.49,barley
39,109,106,21.79,61.09,6.45,122.91,sugarcane
19,9,26,15.93,44.47,7.5,80.59,wheat
114,143,102,14.56,49.26,7.21,117.62,wheat
124,14,94,19.33,43.41,6.2,61.59,wheat
61,41,65,23.07,47.02,6.4,86.92,barley
43,129,183,26.14,73.56,7.17,94.08,soybean
43,116,121,13.7,41.27,7.17,97.59,wheat
63,96,199,28.32,69.35,7.35,112.04,maize
108,131,143,23.65,52.85,6.98,74.4,wheat
56,98,148,20.94,60.49,6.95,81.47,soybean
102,112,146,31.76,56.58,5.95,72.05,cotton
5,34,190,33.24,70.7,6.46,176.83,sugarcane
109,145,106,30.15,67.33,6.18,123.83,sugarcane
8,23,146,12.8,40.0,6.8,85.15,barley
3,122,73,15.76,36.75,6.24,93.35,barley
103,106,88,30.41,74.89,7.2,166.22,sugarcane
43,56,164,21.36,58.01,6.58,135.33,maize
139,141,160,19.96,52.19,5.64,85.99,maize
1,36,195,23.55,54.14,6.1,140.92,maize
139,33,10,10.94,45.07,6.72,101.25,wheat
79,94,204,31.11,79.29,7.12,110.46,sugarcane
103,9,106,26.59,53.04,6.67,105.32,groundnut
87,25,199,28.83,82.27,5.59,260.27,rice
46,58,67,33.34,73.8,6.72,212.15,rice
139,32,185,26.38,82.15,6.44,181.79,rice
55,104,182,30.33,74.5,7.28,149.67,sugarcane
107,119,92,28.17,53.3,6.38,64.48,groundnut
69,143,71,24.89,54.63,7.07,75.63,peas
115,89,52,30.74,69.67,6.06,108.16,groundnut
45,11,153,23.98,59.5,6.3,86.52,wheat
11,101,93,32.3,46.96,7.49,75.77,cotton
132,130,101,37.75,52.27,6.76,62.33,cotton
23,11,81,28.98,63.99,6.03,89.33,groundnut
63,122,43,26.7,51.23,7.06,103.99,groundnut
26,15,18,32.31,55.51,5.6,62.42,cotton
23,73,116,20.23,81.91,6.51,121.74,sugarcane
118,114,74,25.09,79.14,6.66,251.64,rice
20,37,98,19.25,55.78,7.32,96.44,maize
48,68,204,20.71,64.93,6.61,60.35,peas
6,10,73,30.76,41.29,6.25,38.86,millet
86,93,152,23.36,39.78,6.85,49.76,barley
86,66,87,31.34,56.14,6.56,62.98,cotton
31,84,180,26.83,62.29,7.49,149.1,maize
125,72,83,26.13,69.36,6.38,71.48,groundnut
46,19,21,26.68,36.33,5.24,70.88,millet
87,127,114,25.33,72.1,7.06,83.05,soybean
27,46,66,30.88,65.8,7.16,60.26,groundnut
109,134,70,15.82,49.54,7.04,56.55,wheat
103,123,161,27.03,59.97,6.29,85.24,groundnut
102,51,205,37.48,41.75,6.01,52.87,cotton
21,84,51,18.34,44.8,6.62,83.82,barley
107,65,7,20.97,77.14,5.52,169.99,rice
132,40,121,35.84,45.95,6.87,76.01,cotton
10,7,68,17.68,63.15,7.47,67.07,peas
73,84,148,24.82,41.92,7.27,114.02,wheat
77,85,143,30.37,33.02,6.11,50.75,millet
35,119,171,32.29,69.87,7.21,115.6,groundnut
27,9,18,21.65,84.64,6.65,260.01,rice
81,91,164,28.5,72.12,6.79,292.22,rice
118,66,23,19.98,47.48,6.19,58.05,barley
5,101,24,15.83,65.63,6.22,65.29,peas
33,81,89,22.67,70.47,6.74,283.39,rice
92,30,173,11.43,51.42,6.89,111.27,peas
86,96,140,23.07,45.73,6.06,63.15,millet
20,114,94,29.2,44.39,7.17,95.51,cotton
124,69,55,28.29,50.78,6.6,99.6,maize
3,141,91,24.69,48.77,7.43,57.11,wheat
26,15,109,31.44,76.38,6.73,136.76,sugarcane
57,53,129,22.18,79.28,6.78,274.77,rice
78,61,40,16.26,44.23,7.11,74.6,barley
90,7,177,22.07,80.89,6.9,175.28,rice
71,42,190,28.1,61.41,7.1,72.45,groundnut
56,15,29,34.7,37.56,6.93,51.06,millet
50,96,84,25.85,55.91,6.11,86.16,maize
62,104,157,22.42,57.32,7.0,88.07,wheat
77,111,41,23.36,63.7,7.12,89.07,soybean
90,103,95,23.52,75.93,7.45,148.88,soybean
60,60,197,30.4,46.34,7.0,51.69,cotton
115,5,173,32.68,75.72,6.65,285.81,rice
107,20,186,24.54,57.87,6.84,64.28,peas
4,87,178,26.45,54.6,5.94,61.88,cotton
95,83,151,22.15,88.96,6.7,180.62,rice
81,10,15,31.48,40.66,5.43,60.77,millet
74,53,141,19.39,43.65,7.08,64.44,wheat
73,99,195,33.13,72.33,6.11,142.64,sugarcane
2,104,45,27.6,55.72,6.13,84.15,cotton
115,98,98,23.58,63.55,6.21,107.46,peas
76,44,50,30.36,66.51,6.45,138.95,sugarcane
20,63,25,20.53,56.93,6.86,113.42,peas
109,70,183,28.15,59.61,5.55,82.13,cotton
70,114,8,29.94,61.45,6.52,159.75,sugarcane
126,113,51,29.7,63.61,6.94,130.13,sugarcane
86,60,155,24.15,69.0,6.83,132.18,soybean
110,21,174,22.37,37.34,6.82,73.43,barley
130,130,165,31.42,57.6,7.82,72.05,cotton
105,11,160,19.96,57.82,6.65,132.87,maize
5,11,134,26.54,86.42,5.77,206.76,rice
29,52,138,21.31,32.31,5.46,82.08,millet
114,99,201,20.16,68.44,6.78,76.83,maize
12,25,145,33.45,89.74,6.19,176.03,rice
98,58,50,31.96,38.92,6.61,49.11,millet
104,90,73,22.85,77.18,6.92,85.75,soybean
128,101,144,23.69,80.91,6.33,194.23,rice
12,6,27,26.03,64.17,6.93,97.68,groundnut
129,41,15,22.04,75.65,7.2,100.31,sugarcane
71,95,61,30.62,48.53,6.66,68.88,cotton
5,11,112,21.18,37.21,6.64,67.2,millet
85,60,48,34.13,50.63,7.55,71.82,cotton
15,52,10,22.01,75.8,7.4,118.03,soybean
134,18,203,27.77,53.36,6.22,109.97,groundnut
39,51,165,29.15,88.86,6.24,207.91,rice
72,85,189,30.77,65.91,6.32,178.95,sugarcane
21,73,120,32.58,32.56,6.87,38.76,millet
31,37,12,29.68,77.2,6.09,98.46,soybean
100,48,89,30.97,81.87,6.48,254.57,rice
113,128,173,17.28,65.22,7.11,112.06,peas
104,65,72,24.02,62.84,6.76,131.02,soybean
96,39,126,25.98,65.67,6.09,118.85,groundnut
85,72,182,28.96,66.68,7.19,103.42,groundnut
111,72,103,15.68,38.79,6.26,63.88,barley
122,36,122,28.62,54.93,5.54,69.3,cotton
70,76,131,34.2,69.38,7.06,66.84,groundnut
65,133,104,25.71,72.74,5.93,280.34,rice
99,80,194,25.19,75.66,6.67,147.12,soybean
24,117,71,16.2,42.51,6.4,62.08,barley
68,71,148,10.05,69.17,7.22,75.88,peas
130,54,53,18.27,56.64,7.12,95.46,wheat
128,47,112,24.26,32.52,6.6,55.52,barley
72,15,54,32.56,42.74,7.32,71.11,cotton
54,30,65,10.98,45.63,7.31,54.16,barley
92,20,198,22.6,83.26,6.56,183.75,rice
87,86,198,25.23,61.83,6.69,103.57,soybean
95,41,29,21.7,41.36,6.04,78.55,wheat
7,97,38,20.4,75.28,7.14,116.92,soybean
62,55,180,28.35,75.82,6.94,85.47,soybean
51,94,42,31.43,61.64,6.97,77.02,groundnut
87,144,205,28.55,42.55,5.73,56.06,cotton
70,136,49,27.46,58.45,6.9,94.36,groundnut
70,38,82,23.02,39.07,6.49,30.13,millet
50,8,18,19.87,53.16,7.4,54.85,wheat
86,115,174,23.09,82.94,7.15,167.69,sugarcane
59,78,98,11.26,41.93,6.52,101.05,wheat
128,9,124,23.89,48.85,5.58,82.92,millet
36,121,30,27.24,53.37,6.82,85.25,groundnut
122,108,110,28.83,89.56,5.57,194.09,rice
15,104,117,26.06,40.01,7.28,79.34,cotton
10,17,116,18.81,64.44,5.53,109.9,maize
25,68,179,22.29,58.76,6.76,80.42,peas
33,63,79,18.16,69.54,6.44,133.86,maize
108,144,173,34.8,89.8,6.19,292.14,rice
2,93,134,15.48,50.12,6.49,76.81,peas
80,77,151,24.78,77.12,7.48,85.92,soybean
95,43,78,10.29,53.54,6.31,62.68,peas
12,98,53,19.04,64.8,7.18,137.91,maize
131,144,56,27.83,78.82,6.55,180.36,sugarcane
102,66,74,25.29,81.76,6.6,238.69,rice
74,66,128,27.1,69.27,6.34,95.37,groundnut
32,126,80,24.22,80.45,6.38,180.18,sugarcane
99,53,138,30.0,56.57,7.01,60.6,maize
51,123,132,31.52,57.98,7.36,60.65,groundnut
14,44,53,23.3,46.92,5.29,32.98,millet
36,79,67,22.56,67.26,6.3,147.07,sugarcane
132,18,138,27.31,55.58,6.96,85.78,maize
27,100,178,19.23,41.14,6.05,92.71,barley
128,130,80,31.69,83.5,7.26,193.92,sugarcane
128,44,176,17.36,38.35,7.35,66.87,barley
6,54,12,11.97,53.29,6.32,109.39,wheat
133,109,98,38.15,55.02,6.08,81.98,cotton
51,72,92,21.38,79.03,6.86,245.39,rice
